plot,site,system_category
HART_S5_P0000_R2,HART,Responsive: Adviser (risk-tolerant)
HART_S9_P1234_R2,HART,Winter cover cropping
HART_S1.3_P3123_R2,HART,Baseline (SDP High N)
HART_S7_P3412_R2,HART,Pulse on pulse
HART_S4.1_P2341_R2,HART,Canola (Low N)
HART_S4.2_P2341_R3,HART,Canola (Mid N)
HART_S3_P3412_R3,HART,More pulses
HART_S7_P2341_R3,HART,Pulse on pulse
HART_S3_P4123_R1,HART,More pulses
HART_S10.2_P3123_R3,HART,Intercropping (Half N intercrop)
HART_S10.1_P2312_R2,HART,Intercropping (Nil N intercrop)
HART_S4.1_P2341_R1,HART,Canola (Low N)
HART_S10.1_P2312_R3,HART,Intercropping (Nil N intercrop)
HART_S4.3_P1234_R2,HART,Canola (High N)
HART_S3_P2341_R2,HART,More pulses
HART_S2.2_P0000_R1,HART,Responsive: Adviser (risk-neutral) (Mid N)
HART_S4.2_P1234_R2,HART,Canola (Mid N)
HART_S4.3_P3412_R2,HART,Canola (High N)
HART_S6_P3412_R3,HART,Pulse-canola
HART_S8_P2341_R2,HART,More cereals
HART_S1.1_P1231_R2,HART,Baseline (SDP N)
HART_S7_P1234_R2,HART,Pulse on pulse
HART_S3_P4123_R2,HART,More pulses
HART_S10.2_P1231_R1,HART,Intercropping (Half N intercrop)
HART_S3_P3412_R1,HART,More pulses
HART_S3_P2341_R3,HART,More pulses
HART_S1.3_P2312_R3,HART,Baseline (SDP High N)
HART_S10.2_P1231_R3,HART,Intercropping (Half N intercrop)
HART_S9_P3412_R1,HART,Winter cover cropping
HART_S4.3_P3412_R3,HART,Canola (High N)
HART_S9_P3412_R3,HART,Winter cover cropping
HART_S6_P1234_R3,HART,Pulse-canola
HART_S2.1_P0000_R3,HART,Responsive: Adviser (risk-neutral) (Low N)
HART_S10.3_P1231_R3,HART,Intercropping (Full N intercrop)
HART_S6_P3412_R1,HART,Pulse-canola
HART_S2.3_P0000_R1,HART,Responsive: Adviser (risk-neutral) (High N)
HART_S2.3_P0000_R3,HART,Responsive: Adviser (risk-neutral) (High N)
HART_S2.2_P0000_R3,HART,Responsive: Adviser (risk-neutral) (Mid N)
HART_S1.2_P1231_R2,HART,Baseline (Mid N)
HART_S4.2_P3412_R3,HART,Canola (Mid N)
HART_S3_P1234_R2,HART,More pulses
HART_S1.2_P3123_R2,HART,Baseline (Mid N)
HART_S3_P2341_R1,HART,More pulses
HART_S7_P3412_R1,HART,Pulse on pulse
HART_S5_P0000_R7,HART,Responsive: Adviser (risk-tolerant)
HART_S10.2_P2312_R2,HART,Intercropping (Half N intercrop)
HART_S4.1_P4123_R3,HART,Canola (Low N)
HART_S9_P4123_R2,HART,Winter cover cropping
HART_S10.1_P1231_R3,HART,Intercropping (Nil N intercrop)
HART_S4.3_P2341_R3,HART,Canola (High N)
HART_S1.2_P2312_R1,HART,Baseline (Mid N)
HART_S7_P4123_R2,HART,Pulse on pulse
HART_S1.3_P3123_R1,HART,Baseline (SDP High N)
HART_S4.2_P2341_R2,HART,Canola (Mid N)
HART_S7_P2341_R2,HART,Pulse on pulse
HART_S1.1_P2312_R2,HART,Baseline (SDP N)
HART_S1.1_P1231_R1,HART,Baseline (SDP N)
HART_S9_P1234_R3,HART,Winter cover cropping
HART_S8_P2341_R3,HART,More cereals
HART_S10.2_P1231_R2,HART,Intercropping (Half N intercrop)
HART_S5_P0000_R9,HART,Responsive: Adviser (risk-tolerant)
HART_S1.1_P3123_R1,HART,Baseline (SDP N)
HART_S3_P1234_R3,HART,More pulses
HART_S6_P2341_R1,HART,Pulse-canola
HART_S7_P4123_R1,HART,Pulse on pulse
HART_S3_P1234_R1,HART,More pulses
HART_S2.1_P0000_R2,HART,Responsive: Adviser (risk-neutral) (Low N)
HART_S10.1_P2312_R1,HART,Intercropping (Nil N intercrop)
HART_S4.1_P3412_R3,HART,Canola (Low N)
HART_S4.1_P4123_R2,HART,Canola (Low N)
HART_S10.2_P2312_R3,HART,Intercropping (Half N intercrop)
HART_S1.3_P2312_R1,HART,Baseline (SDP High N)
HART_S5_P0000_R6,HART,Responsive: Adviser (risk-tolerant)
HART_S4.3_P4123_R2,HART,Canola (High N)
HART_S1.2_P3123_R3,HART,Baseline (Mid N)
HART_S9_P4123_R1,HART,Winter cover cropping
HART_S1.1_P3123_R3,HART,Baseline (SDP N)
HART_S1.3_P3123_R3,HART,Baseline (SDP High N)
HART_S4.3_P2341_R1,HART,Canola (High N)
HART_S1.2_P2312_R3,HART,Baseline (Mid N)
HART_S9_P4123_R3,HART,Winter cover cropping
HART_S3_P4123_R3,HART,More pulses
HART_S4.2_P1234_R3,HART,Canola (Mid N)
HART_S2.2_P0000_R2,HART,Responsive: Adviser (risk-neutral) (Mid N)
HART_S4.1_P2341_R3,HART,Canola (Low N)
HART_S6_P4123_R2,HART,Pulse-canola
HART_S10.3_P1231_R1,HART,Intercropping (Full N intercrop)
HART_S4.2_P4123_R1,HART,Canola (Mid N)
HART_S10.1_P3123_R1,HART,Intercropping (Nil N intercrop)
HART_S4.2_P2341_R1,HART,Canola (Mid N)
HART_S5_P0000_R4,HART,Responsive: Adviser (risk-tolerant)
HART_S5_P0000_R5,HART,Responsive: Adviser (risk-tolerant)
HART_S6_P4123_R1,HART,Pulse-canola
HART_S8_P1234_R1,HART,More cereals
HART_S6_P2341_R2,HART,Pulse-canola
HART_S1.2_P1231_R3,HART,Baseline (Mid N)
HART_S2.1_P0000_R1,HART,Responsive: Adviser (risk-neutral) (Low N)
HART_S8_P3412_R3,HART,More cereals
HART_S1.3_P2312_R2,HART,Baseline (SDP High N)
HART_S9_P2341_R3,HART,Winter cover cropping
HART_S10.2_P3123_R2,HART,Intercropping (Half N intercrop)
HART_S4.3_P4123_R1,HART,Canola (High N)
HART_S10.2_P3123_R1,HART,Intercropping (Half N intercrop)
HART_S8_P3412_R1,HART,More cereals
HART_S1.3_P1231_R2,HART,Baseline (SDP High N)
HART_S1.2_P3123_R1,HART,Baseline (Mid N)
HART_S6_P1234_R2,HART,Pulse-canola
HART_S1.3_P1231_R1,HART,Baseline (SDP High N)
HART_S5_P0000_R1,HART,Responsive: Adviser (risk-tolerant)
HART_S1.1_P2312_R3,HART,Baseline (SDP N)
HART_S6_P4123_R3,HART,Pulse-canola
HART_S10.1_P3123_R2,HART,Intercropping (Nil N intercrop)
HART_S4.1_P3412_R1,HART,Canola (Low N)
HART_S4.1_P4123_R1,HART,Canola (Low N)
HART_S7_P2341_R1,HART,Pulse on pulse
HART_S4.3_P1234_R3,HART,Canola (High N)
HART_S10.3_P1231_R2,HART,Intercropping (Full N intercrop)
HART_S4.2_P4123_R3,HART,Canola (Mid N)
HART_S2.3_P0000_R2,HART,Responsive: Adviser (risk-neutral) (High N)
HART_S8_P3412_R2,HART,More cereals
HART_S5_P0000_R3,HART,Responsive: Adviser (risk-tolerant)
HART_S8_P2341_R1,HART,More cereals
HART_S4.2_P3412_R2,HART,Canola (Mid N)
HART_S7_P1234_R3,HART,Pulse on pulse
HART_S8_P1234_R2,HART,More cereals
HART_S1.3_P1231_R3,HART,Baseline (SDP High N)
HART_S10.3_P3123_R2,HART,Intercropping (Full N intercrop)
HART_S3_P3412_R2,HART,More pulses
HART_S5_P0000_R8,HART,Responsive: Adviser (risk-tolerant)
HART_S10.3_P2312_R1,HART,Intercropping (Full N intercrop)
HART_S7_P3412_R3,HART,Pulse on pulse
HART_S7_P1234_R1,HART,Pulse on pulse
HART_S4.3_P1234_R1,HART,Canola (High N)
HART_S4.2_P3412_R1,HART,Canola (Mid N)
